Time (s),ECT (uS/cm),Temperature (C)
398,261,76.6
399,261,76.6
400,261,76.6
401,261,76.6
402,261,76.6
403,260,76.6
404,260,76.6
405,260,76.6
406,260,76.6
407,260,76.6
408,260,76.6
409,260,76.6
410,260,76.6
411,260,76.6
412,260,76.6
413,260,76.6
414,260,76.6
415,260,76.6
416,260,76.6
417,260,76.6
418,260,76.6
419,260,76.6
420,259,76.6
421,259,76.6
422,259,76.6
423,259,76.6
424,259,76.6
425,259,76.6
426,259,76.6
427,259,76.6
428,259,76.6
429,259,76.6
430,259,76.6
431,259,76.6
432,259,76.6
433,259,76.6
434,259,76.6
435,259,76.6
436,259,76.6
437,259,76.6
438,259,76.6
439,259,76.6
440,259,76.6
441,259,76.6
442,259,76.6
443,259,76.6
444,259,76.6
445,259,76.6
446,259,76.6
447,259,76.6
448,259,76.6
449,259,76.6
450,259,76.6
451,259,76.6
452,259,76.6
453,259,76.6
454,259,76.6
455,259,76.6
456,259,76.6
457,259,76.6
458,259,76.6
459,259,76.6
460,259,76.6
461,259,76.6
462,259,76.6
463,259,76.6
464,259,76.6
465,259,76.6
466,258,76.6
467,259,76.6
468,259,76.6
469,259,76.6
470,259,76.6
471,259,76.6
472,259,76.6
473,259,76.6
474,259,76.6
475,258,76.6
476,259,76.6
477,259,76.6
478,259,76.6
479,259,76.6
480,259,76.6
481,258,76.6
482,259,76.6
483,259,76.6
484,259,76.6
485,258,76.5
486,259,76.6
487,258,76.6
488,259,76.5
489,259,76.6
490,259,76.5
491,259,76.6
492,259,76.6
493,259,76.5
494,259,76.5
495,259,76.5
496,259,76.5
497,259,76.5
498,259,76.5
499,259,76.5
500,259,76.5
501,259,76.5
502,258,76.5
503,259,76.5
504,259,76.5
505,259,76.5
506,259,76.5
507,259,76.5
508,259,76.5
509,259,76.5
510,259,76.5
511,259,76.5
512,259,76.5
513,259,76.5
514,259,76.5
515,259,76.5
516,259,76.5
517,259,76.5
518,259,76.5
519,259,76.5
520,259,76.5
521,259,76.5
522,259,76.5
523,259,76.5
524,259,76.5
525,259,76.5
526,259,76.5
527,259,76.5
528,259,76.5
529,259,76.5
530,259,76.5
531,259,76.5
532,259,76.5
533,259,76.5
534,259,76.5
535,259,76.5
536,259,76.5
537,259,76.5
538,259,76.5
539,259,76.5
540,259,76.5
541,259,76.5
542,259,76.5
543,259,76.5
544,259,76.5
545,259,76.5
546,259,76.5
547,259,76.5
548,259,76.5
549,259,76.5
550,259,76.5
551,259,76.5
552,259,76.6
553,259,76.5
554,259,76.5
555,259,76.5
556,259,76.5
557,259,76.5
558,259,76.5
559,259,76.5
560,259,76.5
561,259,76.5
562,259,76.5
563,259,76.5
564,259,76.5
565,259,76.5
566,259,76.5
567,259,76.5
568,259,76.5
569,259,76.5
570,259,76.5
571,259,76.5
572,259,76.5
573,259,76.5
574,259,76.5
575,259,76.5
576,259,76.5
577,259,76.5
578,259,76.5
579,259,76.5
580,259,76.5
581,259,76.5
582,259,76.5
583,259,76.5
584,259,76.5
585,259,76.5
586,259,76.5
587,259,76.5
588,259,76.5
589,258,76.5
590,258,76.5
591,259,76.5
592,259,76.5
593,259,76.5
594,259,76.5
595,258,76.5
596,258,76.5
597,259,76.5
598,258,76.5
599,258,76.5
600,259,76.5
601,258,76.5
602,259,76.5
603,259,76.5
604,258,76.5
605,259,76.5
606,259,76.5
607,258,76.5
608,259,76.5
609,259,76.5
610,258,76.5
611,259,76.5
612,259,76.5
613,258,76.5
614,259,76.5
615,259,76.5
616,258,76.5
